Date,Time PST,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-10-09,00:15,34.8,,33.7,95.7,0.0,N @0.0,0.0,0.17,0,55.2,19.2,30.17,33.9,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,00:30,34.3,,33.2,95.7,0.0,N @0.0,0.0,0.17,0,55.1,19.2,30.18,33.6,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,00:45,33.8,,32.8,95.8,0.0,N @0.0,0.0,0.17,0,55.1,19.2,30.19,33.0,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,01:00,34.0,,32.9,95.9,0.0,N @0.0,0.0,0.17,0,55.0,19.2,30.19,32.9,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,01:15,34.3,,33.3,95.9,0.0,N @0.0,0.0,0.17,0,55.0,19.2,30.2,33.4,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,01:30,33.8,,32.8,95.9,0.0,N @0.0,0.0,0.17,0,54.9,19.2,30.21,33.0,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,01:45,33.4,,32.4,96.0,0.0,N @0.0,0.0,0.17,0,54.9,19.2,30.21,32.8,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,02:00,33.1,,32.1,96.0,0.0,N @0.0,0.0,0.17,0,54.8,19.2,30.22,32.2,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,02:15,33.7,,32.7,96.1,0.0,N @0.0,0.0,0.18,0,54.8,19.2,30.22,33.0,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,02:30,34.1,,33.2,96.2,0.0,N @0.0,0.0,0.18,0,54.7,19.2,30.22,33.6,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
2019-10-09,02:45,33.9,,32.9,96.2,0.0,N @0.0,0.0,0.18,0,54.6,19.2,30.22,33.2,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:54:10.571288
