Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, Bed Temp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2018-10-04,00:15,41.9,40.8,40.9,96.2,0.27,N@0.0,0.0,,56.1,14.0,0.0,0,29.93,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,00:30,41.7,40.6,40.7,96.3,0.27,N@0.0,0.0,,56.0,14.0,0.0,0,29.93,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,00:45,42.0,40.8,41.1,96.4,0.28,N@0.0,0.0,,56.0,14.0,0.0,0,29.93,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,01:00,40.8,39.5,39.8,96.4,0.28,N@0.0,0.0,,56.0,14.0,0.0,0,29.93,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,01:15,40.3,39.0,39.3,96.5,0.28,N@0.0,0.0,,56.0,14.0,0.0,0,29.93,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,01:30,40.1,38.8,39.2,96.6,0.28,N@0.0,0.0,,56.0,14.0,0.0,0,29.93,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,01:45,39.8,38.6,38.9,96.7,0.28,N@0.0,0.0,,55.9,14.0,0.0,0,29.93,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,02:00,39.6,38.5,38.8,96.7,0.28,N@0.0,0.0,,55.9,14.0,0.0,0,29.93,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,02:15,39.5,38.5,38.7,96.8,0.29,N@0.0,0.0,,55.9,14.0,0.0,0,29.93,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,02:30,40.4,39.5,39.6,96.9,0.3,N@0.0,0.0,,55.8,14.0,0.0,0,29.94,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,02:45,41.0,40.4,40.2,96.9,0.31,N@0.0,0.0,,55.8,14.0,0.0,0,29.94,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,03:00,41.7,41.1,40.9,97.0,0.31,N@0.0,0.0,,55.8,14.0,0.0,0,29.94,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
2018-10-04,03:15,42.2,41.7,41.4,97.0,0.32,N@0.0,0.0,,55.7,14.0,0.0,0,29.94,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2019-06-25 23:47:37.858273
