Date,Time PDT,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2020-03-09,00:15,30.1,,28.4,94.7,0.0,N @0.0,0.0,0.0,0,45.3,35.2,30.14,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,00:30,30.0,,28.3,94.8,0.0,N @0.0,0.0,0.0,0,45.2,35.2,30.14,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,00:45,30.0,,28.3,94.9,0.0,N @0.0,0.0,0.0,0,45.2,35.2,30.14,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,01:00,29.5,,27.8,95.1,0.0,N @0.0,0.0,0.0,0,45.2,35.2,30.14,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,01:15,30.1,,28.5,95.1,0.0,N @0.0,0.0,0.0,0,45.1,35.2,30.15,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,01:30,29.7,,28.1,95.2,0.0,N @0.0,0.0,0.0,0,45.1,35.2,30.15,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,01:45,29.5,,27.9,95.3,0.0,N @0.0,0.0,0.0,0,45.0,35.2,30.15,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,02:00,29.1,,27.4,95.4,0.0,N @0.0,0.0,0.0,0,45.0,35.2,30.15,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,02:15,29.4,,27.8,95.5,0.0,N @0.0,0.0,0.0,0,44.9,35.2,30.16,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,02:30,29.7,,28.1,95.5,0.0,N @0.0,0.0,0.0,0,44.9,35.2,30.16,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,02:45,29.8,,28.2,95.6,0.0,N @0.0,0.0,0.0,0,44.8,35.2,30.16,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,03:00,29.3,,27.7,95.7,0.0,N @0.0,0.0,0.0,0,44.8,35.2,30.16,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,03:15,29.1,,27.4,95.7,0.0,N @0.0,0.0,0.0,0,44.7,35.2,30.16,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,03:30,28.6,,26.9,95.8,0.0,N @0.0,0.0,0.0,0,44.7,35.2,30.16,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,03:45,28.5,,26.9,95.9,0.0,N @0.0,0.0,0.0,0,44.6,35.2,30.16,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,04:00,28.3,,26.6,96.0,0.0,N @0.0,0.0,0.0,0,44.6,35.2,30.17,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,04:15,28.3,,26.7,96.0,0.0,N @0.0,0.0,0.0,0,44.5,35.2,30.17,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,04:30,28.7,,27.1,96.0,0.0,N @0.0,0.0,0.0,0,44.5,35.2,30.18,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,04:45,28.7,,27.1,96.0,0.0,N @0.0,0.0,0.0,0,44.4,35.2,30.18,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
2020-03-09,05:00,28.8,,27.2,96.1,0.0,N @0.0,0.0,0.0,0,44.4,35.2,30.18,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-03 17:00:40.647254
