Date,Time PST,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-12-08,00:15,48.0,,47.0,96.4,0.0,N @0.0,0.0,0.31,0,48.0,23.6,29.89,47.7,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
2019-12-08,00:30,47.9,,47.0,96.4,0.0,N @0.0,0.0,0.31,0,48.0,23.6,29.89,47.7,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
2019-12-08,00:45,47.7,,46.7,96.4,0.0,N @0.0,0.0,0.31,0,48.0,23.6,29.9,47.4,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
2019-12-08,01:00,47.4,,46.4,96.5,0.0,N @0.0,0.0,0.31,0,48.0,23.7,29.9,47.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
2019-12-08,01:15,47.5,,46.6,96.5,0.0,S@0.0,1.4,0.3,0,48.0,23.7,29.9,47.2,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
2019-12-08,01:30,47.5,,46.6,96.5,0.0,S@0.1,1.7,0.3,0,48.0,23.7,29.91,47.2,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
2019-12-08,01:45,47.3,,46.4,96.5,0.0,W@0.5,2.8,0.3,0,48.0,23.7,29.92,47.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
2019-12-08,02:00,47.5,,46.6,96.6,0.0,SW@0.9,2.8,0.31,0,48.0,23.7,29.93,47.3,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
2019-12-08,02:15,47.5,,46.5,96.6,0.0,SE@0.2,1.7,0.31,0,48.0,23.7,29.93,47.2,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
2019-12-08,02:30,47.4,,46.5,96.6,0.0,N @0.0,0.0,0.31,0,48.0,23.7,29.94,47.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:31.357785
