Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg," 20""Soil VWC %", 20 in. Soil Tmp °F," 10""Soil VWC %", 10 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-03-04,23:15,34.4,NE@8.3,8.9,,0,23.2,63.1,30.23,29.0,43.1,30.6,43.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-04,23:30,34.4,NE@8.1,9.4,,0,23.2,63.3,30.23,29.0,43.2,30.6,43.7,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-04,23:45,34.2,NE@8.3,8.7,,0,23.2,63.7,30.23,29.0,43.2,30.6,43.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-04,24:00,33.9,NE@7.6,8.1,,0,23.0,64.0,30.22,29.0,43.2,30.6,43.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,00:15,33.3,NE@6.7,7.4,,0,22.8,65.1,30.23,29.0,43.2,30.6,43.6,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,00:30,33.3,NE@6.9,8.1,,0,22.7,64.7,30.22,29.0,43.2,30.6,43.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,00:45,32.2,E@4.3,6.3,,0,22.5,66.9,30.23,29.0,43.2,30.6,43.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,01:00,32.3,E@4.3,6.0,,0,22.7,67.6,30.22,29.0,43.2,30.6,43.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,01:15,32.6,E@4.3,6.0,,0,22.7,66.6,30.22,29.0,43.2,30.6,43.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,01:30,33.9,NE@5.6,8.9,,0,22.9,63.5,30.21,29.0,43.2,30.6,43.5,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,01:45,34.1,NE@6.7,8.9,,0,22.7,62.5,30.21,29.0,43.2,30.6,43.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,02:00,33.4,NE@7.2,8.3,,0,22.6,64.0,30.21,29.0,43.2,30.6,43.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,02:15,34.0,NE@8.3,9.6,,0,22.9,63.3,30.21,29.0,43.2,30.6,43.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
2020-03-05,02:30,34.4,NE@7.6,8.9,,0,23.1,63.1,30.2,29.0,43.2,30.6,43.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-06-01 19:02:54.299477
