Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-11-07,00:15,44.2,38.6,80.4,0.0,0,29.77,W,5.3,7.8,0.0,52.7,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,00:30,43.9,38.7,81.6,0.0,0,29.77,SW,5.6,8.5,0.0,52.7,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,00:45,43.6,38.4,81.9,0.0,0,29.76,SW,3.6,7.4,0.0,52.6,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,01:00,43.4,38.4,82.4,0.0,0,29.75,W,3.8,5.3,0.0,52.6,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,01:15,42.7,38.2,84.0,0.0,0,29.75,SW,1.3,4.6,0.0,52.5,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,01:30,42.7,38.4,84.6,0.0,0,29.75,NW,3.0,4.9,0.0,52.5,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,01:45,43.2,38.3,82.7,0.0,0,29.75,NW,3.6,5.3,0.0,52.5,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,02:00,42.9,38.2,83.4,0.0,0,29.75,NW,2.0,3.5,0.0,52.4,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,02:15,41.6,37.7,85.9,0.0,0,29.75,N ,0.0,0.0,0.0,52.4,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,02:30,40.6,37.8,89.6,0.0,0,29.75,SW,2.4,3.9,0.0,52.3,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
2020-11-07,02:45,41.9,38.4,87.2,0.0,0,29.74,W,2.5,3.9,0.0,52.3,"Richland.N, Richland, Benton County",100148,Richland.N,2020-12-14 02:14:22.239580
