Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2012-03-29,00:15,48.5,48.4,30.7,49.9,0.0,SW@4.0,11.0,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,00:30,49.7,49.6,29.8,45.9,0.0,S@5.5,11.4,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,00:45,49.6,49.4,29.8,46.2,0.0,SW@6.7,14.6,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,01:00,49.5,49.3,29.3,45.5,0.0,S@6.2,15.7,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,01:15,49.7,49.5,29.0,44.5,0.0,S@5.7,17.8,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,01:30,49.2,48.8,30.0,47.4,0.0,S@7.2,16.0,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,01:45,47.6,47.3,32.1,54.7,0.0,S@6.6,17.1,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,02:00,46.5,46.2,33.2,59.5,0.0,SW@6.2,13.9,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,02:15,46.5,46.3,32.7,58.4,0.0,SW@6.5,12.8,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,02:30,47.1,46.9,32.3,56.1,0.0,S@6.6,16.7,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,02:45,47.0,46.7,33.0,58.1,0.01,S@6.2,14.6,,42.8,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,03:00,46.4,46.2,33.6,60.6,0.02,S@7.3,16.4,,42.7,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,03:15,46.4,46.2,33.7,61.0,0.02,S@7.3,16.0,,42.7,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,03:30,46.0,45.6,34.3,63.6,0.1,S@6.7,12.8,,42.7,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,03:45,45.8,45.5,34.5,64.4,0.1,S@6.4,14.6,,42.7,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,04:00,45.6,45.3,34.7,65.4,0.11,S@6.9,14.2,,42.7,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,04:15,46.0,45.7,34.3,63.5,0.0,SW@7.2,17.5,,42.7,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,04:30,44.7,44.3,36.0,71.3,0.0,SW@7.2,11.7,,42.7,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,04:45,43.7,43.4,36.8,76.5,0.07,SW@6.7,10.3,,42.7,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,05:00,43.4,43.0,37.0,78.2,0.36,SW@5.6,9.9,,42.7,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,05:15,43.0,42.7,37.2,79.7,0.25,SW@5.8,10.3,,42.6,0.0,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,05:30,43.0,42.7,37.1,79.5,0.2,SW@6.1,12.1,,42.6,0.0,0.0,1,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,05:45,42.7,42.5,37.1,80.3,0.45,SW@4.7,10.3,,42.6,0.0,0.0,2,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,06:00,42.6,42.3,37.3,81.2,0.56,S@3.8,7.8,,42.6,0.0,0.0,3,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,06:15,42.7,42.4,37.3,81.0,0.61,SW@4.1,7.8,,42.6,0.0,0.0,7,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,06:30,42.9,42.6,37.3,80.4,0.58,SW@3.9,7.8,,42.6,0.0,0.0,15,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,06:45,43.1,42.9,37.4,79.9,0.3,SW@4.1,9.6,,42.6,0.0,0.0,23,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,07:00,43.6,43.2,37.5,79.1,0.09,SW@4.8,9.9,,42.5,0.0,0.0,26,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,07:15,43.7,43.4,37.7,79.1,0.0,SW@3.7,8.5,,42.5,0.0,0.0,28,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,07:30,43.9,43.6,37.8,79.0,0.0,SW@3.5,6.4,,42.5,0.0,0.0,33,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,07:45,43.8,43.5,38.2,80.5,0.01,N@2.2,3.5,,42.5,0.0,0.0,39,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,08:00,44.1,43.6,38.6,81.0,0.36,N@1.8,3.5,,42.5,0.0,0.0,41,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
2012-03-29,08:15,44.1,43.8,38.9,81.7,0.42,E@2.7,3.9,,42.5,0.0,0.0,50,"Ellisforde, Okanogan County",330145,Ellisforde,2017-12-13 02:08:11.090368
