Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2018-10-04,00:15,44.9,45.0,30.9,57.8,0.0,NE@3.3,5.3,54.3,56.9,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,00:30,45.1,45.2,30.9,57.3,0.0,NE@3.8,6.0,54.2,56.9,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,00:45,44.9,45.0,31.1,58.0,0.0,NE@3.9,6.0,54.1,56.9,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,01:00,44.9,45.0,31.0,57.8,0.0,NE@3.7,7.1,54.1,56.9,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,01:15,44.9,45.0,31.4,58.8,0.0,NE@3.8,6.4,54.0,56.8,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,01:30,44.7,44.8,31.6,59.9,0.0,NE@3.8,7.1,53.9,56.8,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,01:45,44.7,44.8,31.6,59.8,0.0,NE@3.5,6.0,53.8,56.8,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,02:00,44.1,44.2,32.1,62.5,0.0,NE@2.6,3.9,53.8,56.8,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,02:15,44.4,44.5,31.7,60.7,0.0,NE@3.2,8.2,53.7,56.8,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,02:30,44.9,45.0,31.5,59.0,0.0,NE@4.0,6.0,53.6,56.8,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,02:45,44.6,44.7,31.9,60.8,0.0,NE@3.6,5.7,53.6,56.8,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,03:00,44.7,44.8,31.9,60.4,0.0,NE@3.4,5.7,53.5,56.7,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,03:15,44.3,44.4,32.3,62.5,0.0,NE@3.2,6.7,53.5,56.7,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,03:30,44.4,44.5,32.0,61.4,0.0,NE@2.8,4.6,53.4,56.7,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,03:45,44.5,44.6,32.5,62.7,0.0,NE@3.8,7.4,53.4,56.7,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,04:00,44.4,44.5,32.6,63.2,0.0,NE@4.0,5.7,53.3,56.7,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,04:15,44.8,44.9,32.7,62.3,0.0,NE@3.8,7.1,53.2,56.7,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,04:30,44.6,44.7,32.8,63.1,0.0,NE@3.4,7.1,53.2,56.6,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,04:45,44.0,44.0,33.3,65.8,0.0,NE@2.4,4.2,53.1,56.6,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,05:00,43.9,44.0,33.4,66.1,0.0,NE@2.2,5.7,53.1,56.6,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,05:15,44.4,44.4,33.3,64.9,0.0,NE@3.0,5.7,53.0,56.6,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,05:30,44.3,44.3,33.5,65.6,0.0,N@2.2,3.9,53.0,56.6,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,05:45,44.1,44.1,33.6,66.2,0.0,N@0.9,3.5,52.9,56.5,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,06:00,43.9,43.9,34.1,68.3,0.0,NE@0.6,3.9,52.9,56.5,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,06:15,43.5,43.5,34.0,69.0,0.0,N@0.6,4.6,52.9,56.5,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,06:30,41.4,41.5,34.5,76.2,0.0,E@2.2,3.9,52.8,56.5,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,06:45,40.3,40.4,34.8,80.8,0.0,NE@1.0,3.9,52.8,56.5,3.1,0.0,0,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,07:00,39.4,39.5,34.5,82.2,0.0,E@0.0,1.4,52.7,56.5,3.1,0.0,1,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,07:15,38.6,38.6,34.7,85.9,0.04,E@0.0,1.4,52.7,56.4,3.1,0.0,4,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,07:30,39.1,39.2,34.9,84.6,0.06,E@0.0,1.4,52.6,56.4,3.1,0.0,13,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,07:45,38.6,38.6,35.2,87.6,0.18,E@0.0,1.4,52.5,56.4,3.1,0.0,23,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,08:00,38.5,38.6,35.7,89.6,0.34,E@0.1,1.4,52.4,56.4,3.1,0.0,37,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
2018-10-04,08:15,39.3,39.3,35.9,87.4,0.26,E@0.0,1.4,52.3,56.4,3.1,0.0,51,"Ellisforde, Okanogan County",330145,Ellisforde,2019-06-26 03:46:46.942436
