Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Bed Temp °F,Location,Station ID,Station Name,Download Timestamp
2020-10-04,00:15,49.9,48.9,96.2,0.0,0,30.11,S,0.1,1.4,0.81,58.0,60.3,15.0,68.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,00:30,49.5,48.5,96.2,0.0,0,30.11,N ,0.0,0.0,0.81,58.0,60.2,15.0,68.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,00:45,49.8,48.8,96.3,0.0,0,30.12,S,0.5,2.1,0.82,57.9,60.1,15.0,69.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,01:00,50.1,49.1,96.3,0.0,0,30.12,S,1.2,3.5,0.82,57.9,60.1,15.0,69.0,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,01:15,50.4,49.4,96.4,0.0,0,30.11,SW,0.0,1.4,0.82,57.8,60.0,15.0,69.0,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,01:30,51.0,50.0,96.4,0.0,0,30.11,S,0.4,2.4,0.83,57.8,60.0,15.0,68.8,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,01:45,50.9,49.9,96.4,0.0,0,30.11,E,1.0,2.1,0.82,57.7,59.9,15.0,68.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,02:00,50.6,49.6,96.4,0.0,0,30.11,SE,0.4,2.1,0.83,57.7,59.9,15.0,68.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,02:15,50.2,49.3,96.4,0.0,0,30.11,S,1.2,2.1,0.83,57.7,59.8,15.0,68.8,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,02:30,48.7,47.8,96.4,0.0,0,30.12,NE,0.3,1.7,0.82,57.6,59.8,15.0,68.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,02:45,48.4,47.5,96.5,0.0,0,30.12,NE,0.3,1.7,0.82,57.5,59.7,15.0,69.0,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,03:00,48.6,47.6,96.5,0.0,0,30.12,SE,1.3,3.1,0.83,57.4,59.7,15.0,69.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,03:15,50.1,49.1,96.6,0.0,0,30.12,SE,1.2,2.8,0.83,57.4,59.6,15.0,69.1,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,03:30,50.7,49.7,96.6,0.0,0,30.12,SE,0.8,2.1,0.84,57.3,59.6,15.0,68.8,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
2020-10-04,03:45,51.3,50.4,96.7,0.0,0,30.11,SE,1.0,2.1,0.84,57.3,59.5,15.0,68.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-12-14 08:29:07.206977
