Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-12-03,00:15,26.7,27.0,S@2.1,4.0,0.0,0,25.8,99.6,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,00:30,26.6,26.8,SE@1.4,3.1,0.0,0,26.6,100.0,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,00:45,26.6,26.5,NE@1.2,2.3,0.0,0,25.3,98.4,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,01:00,26.5,26.4,S@1.3,2.4,0.0,0,25.2,98.4,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,01:15,26.2,26.4,S@3.0,5.3,0.0,0,25.2,99.6,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,01:30,26.3,26.2,S@4.0,6.2,0.0,0,25.2,99.4,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,01:45,26.3,26.2,S@2.5,4.8,0.0,0,25.2,99.4,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,02:00,26.1,26.1,S@2.4,4.5,0.0,0,26.1,100.0,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,02:15,26.1,26.1,S@1.9,3.7,0.0,0,26.1,100.0,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,02:30,26.0,26.1,S@1.6,3.3,0.0,0,26.0,100.0,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,02:45,25.8,26.1,S@2.4,4.0,0.0,0,25.8,100.0,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,03:00,25.7,25.9,E@2.0,4.1,0.0,0,24.6,99.7,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,03:15,25.7,25.9,S@1.3,2.8,0.0,0,24.6,99.6,30.26,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,03:30,25.5,25.7,S@1.9,3.6,0.0,0,25.5,100.0,30.25,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,03:45,25.1,25.4,S@1.8,3.6,0.0,0,25.1,100.0,30.25,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
2019-12-03,04:00,24.9,25.2,S@2.0,4.0,0.0,0,24.9,100.0,30.25,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2020-01-21 14:05:15.794492
