Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, UVB, 2<sup>nd</sup> Air Temp °F, PRECIP_HEATED,Location,Station ID,Station Name,Download Timestamp
2020-01-19,00:15,32.1,32.0,99.4,0.0,NW@2.3,4.6,0.0,0,34.5,0.6,31.9,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,00:30,32.1,32.0,99.4,0.0,N@3.0,4.6,0.0,0,34.5,0.6,31.9,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,00:45,32.0,31.7,99.4,0.0,N@3.1,4.6,0.0,0,34.5,0.6,31.7,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,01:00,31.8,31.6,99.4,0.0,N@3.4,6.4,0.0,0,34.5,0.6,31.6,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,01:15,31.6,31.3,99.4,0.0,NW@2.3,6.4,0.0,0,34.5,0.6,31.4,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,01:30,31.6,31.3,99.4,0.0,NW@1.2,4.6,0.0,0,34.5,0.6,31.3,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,01:45,31.5,31.2,99.4,0.0,SW@0.5,2.8,0.0,0,34.5,0.6,31.2,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,02:00,31.4,31.0,99.4,0.0,W@1.9,2.8,0.0,0,34.5,0.6,31.1,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,02:15,31.3,30.9,99.5,0.0,SW@2.4,4.6,0.0,0,34.5,0.61,31.0,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,02:30,31.3,31.0,99.5,0.0,W@1.1,4.6,0.0,0,34.5,0.6,31.1,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,02:45,31.3,30.9,99.4,0.0,SW@1.1,2.8,0.0,0,34.5,0.6,31.0,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,03:00,30.9,30.5,99.5,0.0,SW@1.0,2.8,0.0,0,34.5,0.61,30.6,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,03:15,30.6,30.2,99.5,0.0,SW@0.8,2.8,0.0,0,34.5,0.62,30.3,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,03:30,30.4,30.0,99.5,0.0,SW@1.4,2.8,0.0,0,34.5,0.63,30.1,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,03:45,30.5,30.1,99.5,0.0,W@0.6,4.6,0.0,0,34.5,0.64,30.2,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,04:00,30.7,30.3,99.5,0.0,W@1.6,4.6,0.0,0,34.6,0.64,30.5,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,04:15,30.9,30.5,99.5,0.0,W@0.2,2.8,0.0,0,34.6,0.64,30.6,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,04:30,30.9,30.5,99.5,0.0,SW@1.2,4.6,0.0,0,34.6,0.64,30.6,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,04:45,30.7,30.3,99.5,0.0,W@1.4,4.6,0.0,0,34.6,0.64,30.5,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,05:00,30.7,30.3,99.5,0.0,W@1.3,4.6,0.0,0,34.6,0.64,30.5,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,05:15,30.9,30.4,99.5,0.0,NW@0.0,2.8,0.0,0,34.6,0.65,30.5,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,05:30,30.9,30.5,99.5,0.0,W@0.6,2.8,0.0,0,34.6,0.65,30.6,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,05:45,30.9,30.5,99.5,0.0,W@1.6,4.6,0.0,0,34.6,0.65,30.6,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,06:00,31.0,30.6,99.5,0.0,W@2.1,4.6,0.0,0,34.6,0.64,30.7,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,06:15,31.1,30.7,99.5,0.0,W@0.1,2.8,0.0,0,34.6,0.64,30.8,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,06:30,31.1,30.8,99.5,0.0,N @0.0,0.0,0.0,0,34.6,0.65,30.8,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,06:45,31.2,30.8,99.5,0.0,SE@0.2,2.8,0.0,0,34.6,0.65,30.8,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
2020-01-19,07:00,30.8,30.4,99.5,0.0,W@1.3,2.8,0.06,0,34.6,0.68,30.5,0,"Prosser.NE (WSU Hamilton), Prosser, Benton County",110029,Hamilton,2020-01-21 18:53:33.810393
