Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2018-12-08,23:15,29.0,28.7,28.3,99.4,0.0,N@0.0,0.0,33.3,35.5,0.0,0,30.51,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-08,23:30,29.1,28.7,28.4,99.4,0.0,N@0.0,0.0,33.3,35.5,0.0,0,30.51,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-08,23:45,29.1,28.7,28.4,99.4,0.0,N@0.0,0.0,33.3,35.5,0.0,0,30.51,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-08,24:00,29.1,28.7,28.4,99.4,0.0,N@0.0,0.0,33.3,35.5,0.0,0,30.5,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,00:15,29.1,28.8,28.5,99.4,0.0,N@0.0,0.0,33.3,35.5,0.0,0,30.5,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,00:30,29.2,28.8,28.5,99.4,0.0,N@0.0,0.0,33.3,35.5,0.0,0,30.5,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,00:45,29.1,28.8,28.4,99.4,0.0,SE@1.7,3.9,33.3,35.5,0.0,0,30.49,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,01:00,28.9,28.6,28.2,99.4,0.0,SE@1.4,4.9,33.3,35.5,0.0,0,30.48,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,01:15,28.8,28.5,28.1,99.4,0.0,E@2.5,3.9,33.3,35.5,0.0,0,30.48,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,01:30,28.4,28.1,27.7,99.4,0.0,SE@1.5,3.9,33.4,35.5,0.0,0,30.48,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,01:45,28.2,27.9,27.4,99.4,0.0,SE@1.7,3.5,33.4,35.5,0.0,0,30.48,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,02:00,28.1,27.8,27.3,99.4,0.0,E@0.9,2.8,33.4,35.5,0.0,0,30.48,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,02:15,27.9,27.6,27.1,99.4,0.0,E@0.3,2.1,33.4,35.5,0.0,0,30.48,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,02:30,28.1,27.8,27.3,99.4,0.0,E@1.4,3.1,33.4,35.5,0.0,0,30.48,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,02:45,28.6,28.3,27.8,99.4,0.0,NE@1.8,3.9,33.4,35.5,0.0,0,30.48,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,03:00,28.2,27.9,27.4,99.4,0.0,NE@1.4,3.9,33.4,35.5,0.0,0,30.47,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,03:15,27.3,27.0,26.4,99.4,0.0,NE@0.5,3.1,33.4,35.5,0.0,0,30.46,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,03:30,26.3,26.1,25.3,99.4,0.0,N@0.0,0.0,33.4,35.5,0.0,0,30.46,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,03:45,25.6,25.3,24.5,99.4,0.0,N@0.2,2.1,33.4,35.5,0.0,0,30.46,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,04:00,25.0,24.7,23.8,99.5,0.0,N@0.0,0.0,33.4,35.5,0.0,0,30.45,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,04:15,24.7,24.4,23.5,99.5,0.0,NE@0.9,2.8,33.4,35.5,0.0,0,30.45,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,04:30,25.0,24.7,23.8,99.5,0.0,NE@0.7,2.4,33.4,35.5,0.0,0,30.44,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,04:45,25.2,24.9,24.0,99.5,0.0,NE@0.4,2.4,33.4,35.5,0.0,0,30.43,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,05:00,24.4,24.2,23.2,99.5,0.0,N@0.0,0.0,33.3,35.5,0.0,0,30.43,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,05:15,24.5,24.2,23.2,99.5,0.0,NE@0.1,2.4,33.3,35.5,0.0,0,30.42,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,05:30,24.0,23.6,22.7,99.5,0.0,N@0.0,0.0,33.3,35.5,0.0,0,30.42,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,05:45,23.9,23.5,22.5,99.5,0.0,NE@0.0,1.4,33.3,35.5,0.0,0,30.42,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
2018-12-09,06:00,23.9,23.5,22.6,99.5,0.0,N@0.0,0.0,33.3,35.5,0.0,0,30.42,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2019-06-26 02:15:52.873631
