Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-09-21,00:15,62.9,53.1,70.5,0.0,NW@8.8,13.2,0,65.8,67.9,3.0,30.11,62.6,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,00:30,62.4,53.4,72.3,0.0,W@7.0,12.1,0,65.7,67.9,3.0,30.12,62.1,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,00:45,62.2,53.5,73.1,0.0,W@7.2,11.7,0,65.6,67.8,3.0,30.12,62.0,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,01:00,62.1,53.7,73.9,0.0,W@7.2,12.4,0,65.5,67.7,3.0,30.12,61.9,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,01:15,62.0,53.9,74.7,0.0,W@7.1,12.4,0,65.4,67.6,3.0,30.12,61.8,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,01:30,62.0,53.8,74.5,0.0,W@6.5,14.6,0,65.3,67.6,3.0,30.12,61.8,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,01:45,61.9,53.8,74.7,0.0,W@6.7,12.4,0,65.2,67.5,3.0,30.12,61.6,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,02:00,62.0,53.9,74.7,0.0,W@6.9,12.1,0,65.1,67.4,3.0,30.12,61.7,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,02:15,61.8,54.0,75.3,0.0,W@7.3,10.7,0,65.0,67.4,3.0,30.12,61.6,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,02:30,61.9,54.0,75.1,0.0,W@7.7,13.5,0,65.0,67.3,3.0,30.12,61.6,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,02:45,61.9,53.9,75.0,0.0,W@7.2,13.5,0,64.9,67.2,3.0,30.12,61.6,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,03:00,61.9,54.0,75.2,0.0,NW@9.3,15.3,0,64.8,67.2,3.0,30.12,61.7,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,03:15,61.9,54.1,75.5,0.0,NW@9.3,14.2,0,64.7,67.1,3.0,30.12,61.6,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,03:30,61.9,53.9,74.9,0.0,NW@8.1,14.6,0,64.7,67.0,3.0,30.12,61.7,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
2019-09-21,03:45,61.8,54.2,76.0,0.0,NW@8.1,13.2,0,64.6,67.0,3.0,30.12,61.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-01-21 20:13:09.136571
