Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-11-04,23:15,,N @NA,,,,,75.5,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-04,23:30,,N@NA,,,,,75.4,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-04,23:45,,N @NA,,,,,74.5,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-04,24:00,,NE@NA,,,,,76.6,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,00:15,,NE@NA,,,,,78.4,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,00:30,,N @NA,,,,,80.0,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,00:45,,N @NA,,,,,78.7,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,01:00,,NE@NA,,,,,82.8,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,01:15,,N @NA,,,,,84.5,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,01:30,,N @NA,,,,,84.3,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,01:45,,N @NA,,,,,84.5,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,02:00,,N @NA,,,,,84.4,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,02:15,,N @NA,,,,,83.9,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,02:30,,N @NA,,,,,84.3,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,02:45,,N @NA,,,,,83.5,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,03:00,,N @NA,,,,,82.2,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,03:15,,N @NA,,,,,84.0,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,03:30,,N @NA,,,,,83.3,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,03:45,,N @NA,,,,,81.9,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,04:00,,N @NA,,,,,84.0,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,04:15,,N@NA,,,,,87.4,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,04:30,,N @NA,,,,,85.3,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,04:45,,N@NA,,,,,85.2,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
2019-11-05,05:00,,NW@NA,,,,,85.5,,"10SB04*, Paterson, Benton County",100012,10SB04*,2020-06-02 11:03:54.092240
