Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg, 8 in. SWP kPa, Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2011-03-09,23:15,46.3,N @0.0,0.0,0.0,0.0,42.7,87.0,,,0.0,43.5,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-09,23:30,47.8,N @0.0,0.0,0.0,0.0,42.3,81.1,,,0.0,43.5,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-09,23:45,47.6,N @0.0,0.0,0.0,0.0,42.1,81.0,,,0.0,43.4,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-09,24:00,46.0,N @0.0,0.0,0.0,0.0,42.0,85.7,,,0.0,43.4,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,00:15,45.0,N @0.0,0.0,0.0,0.0,41.8,88.3,,,0.01,43.4,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,00:30,45.6,N @0.0,0.0,0.0,0.0,40.8,83.0,,,0.0,43.3,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,00:45,45.1,N @0.0,0.0,0.0,0.0,40.3,83.3,,,0.0,43.3,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,01:00,45.5,N @0.0,0.0,0.0,0.0,40.5,82.7,,,0.0,43.3,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,01:15,46.5,SE@0.2,4.2,0.0,0.0,40.3,79.1,,,0.0,43.3,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,01:30,47.7,SE@2.7,5.3,0.0,0.0,40.2,75.0,,,0.0,43.2,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,01:45,47.6,NW@0.1,5.3,0.0,0.0,40.3,75.8,,,0.0,43.2,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,02:00,47.5,W@1.9,6.4,0.0,0.0,40.2,75.4,,,0.0,43.1,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,02:15,47.4,NW@0.5,4.6,0.0,0.0,40.0,75.3,,,0.0,43.1,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,02:30,46.4,NW@0.3,4.9,0.0,0.0,40.8,80.7,,,0.0,43.0,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,02:45,45.3,NW@0.0,1.7,0.0,0.0,42.0,87.9,,,0.0,43.0,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,03:00,44.9,N @0.0,0.0,0.0,0.0,41.8,89.0,,,0.01,43.0,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,03:15,45.5,N @0.0,0.0,0.0,0.0,41.5,86.0,,,0.0,42.9,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,03:30,45.4,W@3.1,7.1,0.0,0.0,42.3,88.7,,,0.01,42.9,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,03:45,45.2,W@4.6,7.1,0.0,0.0,42.8,91.4,,,0.4,42.9,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
2011-03-10,04:00,44.4,W@6.5,10.3,0.0,0.0,43.2,95.5,,,0.84,42.8,"TripleS, Benton County",100039,TripleS,2020-06-01 02:16:45.493067
