Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2001-02-01,00:15,34.5,,34.5,100.0,1.0,NW@0.4,0.4,41.5,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
2001-02-01,00:30,34.4,,34.4,100.0,1.0,N@0.4,0.4,41.5,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
2001-02-01,00:45,34.4,,34.4,100.0,1.0,NW@0.8,0.8,41.5,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
2001-02-01,01:00,34.6,,34.6,100.0,1.0,SE@0.6,0.6,41.5,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
2001-02-01,01:15,33.8,,33.8,100.0,1.0,S@1.1,1.1,41.5,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
2001-02-01,01:30,33.6,,33.6,100.0,1.0,SE@0.7,0.7,41.5,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
2001-02-01,01:45,33.6,,33.6,100.0,1.0,E@0.9,0.9,41.5,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
2001-02-01,02:00,33.9,,33.9,100.0,1.0,SE@0.7,0.7,41.5,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
2001-02-01,02:15,33.4,,33.4,100.0,1.0,NW@0.9,0.9,41.5,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
2001-02-01,02:30,33.7,,33.7,100.0,1.0,N@0.6,0.6,41.4,,0.0,0,,"WSU Mt Vernon, Mount Vernon, Skagit County",330101,WSU Mt Vernon,2017-11-26 23:31:21.032969
