Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-11-15,00:15,39.0,38.8,99.0,NE@0.6,1.2,0.0,0,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,00:30,39.0,38.6,98.3,NW@0.9,1.4,0.0,0,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,00:45,39.0,38.8,99.1,NW@0.7,1.2,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,01:00,39.0,38.8,99.1,NW@0.5,1.1,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,01:15,39.0,38.8,99.2,N@0.9,2.1,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,01:30,39.0,38.9,99.7,NW@0.5,1.3,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,01:45,39.0,,100.3,NW@0.6,1.3,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,02:00,39.0,,100.2,NE@0.6,1.1,0.0,0,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,02:15,39.0,,100.3,N@0.5,1.1,0.0,0,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,02:30,39.0,,100.3,E@0.3,0.8,0.0,0,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,02:45,39.0,,100.3,NW@0.4,0.8,0.0,0,30.13,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,03:00,39.1,,100.0,N@0.5,1.1,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,03:15,39.0,,100.3,NW@0.8,1.5,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,03:30,39.0,,100.3,N @0.5,0.9,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,03:45,38.9,38.8,99.7,N@0.3,0.8,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,04:00,38.8,38.8,99.8,NE@0.4,0.9,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,04:15,38.9,38.9,99.9,NW@0.4,1.1,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,04:30,39.0,38.9,99.5,W@0.6,1.1,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,04:45,39.0,38.8,99.1,W@1.1,2.3,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,05:00,39.0,38.8,99.1,W@1.1,2.3,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,05:15,38.9,38.6,98.8,W@0.7,1.6,0.0,0,30.12,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,05:30,38.8,38.5,98.9,SW@0.5,1.0,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,05:45,38.8,38.5,98.8,S@0.7,1.6,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,06:00,38.7,38.5,98.9,S@0.5,1.2,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,06:15,38.7,38.5,99.2,SE@0.8,2.3,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,06:30,38.7,38.5,99.2,SE@0.4,1.2,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,06:45,38.6,38.5,99.6,W@0.4,0.9,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
2019-11-15,07:00,38.4,,100.1,SW@0.5,1.1,0.0,0,30.11,"Wamic.N, WAMIC, Wasco County",100004,"Wamic.N, OR",2019-11-27 07:01:07.191573
